Ferrovum	Betaproteobacteria
Filamoeba	Amoebozoa,Tubulinea
Fimbriiglobus	Planctomycetes
Flavobacterium	Bacteroidetes
Fodinicurvata	Alphaproteobacteria
Fonsecaea	Fungi,Ascomycota
Fragilariopsis	Stramenopiles,Bacillariophyta
Frankia	Actinobacteria
Fusarium	Fungi,Ascomycota
Gaeumannomyces	Fungi,Ascomycota
Galdieria	Rhodophyta,Bangiophyceae
Gammaproteobacteria	Gammaproteobacteria
Gemmata	Planctomycetes
Geobacter	Deltaproteobacteria
Geothrix	Acidobacteria
Giardia	Excavata,Fornicata,Diplomonadida
Gimesia	Planctomycetes
Glarea	Fungi,Ascomycota
Glenodinium	Dinophyceae,Peridiniales
Gloeochaete	Glaucocystophyceae
Gloeophyllum	Fungi,Basidiomycota
Glycine	Viridiplantae,Streptophyta
Goniomonas	Cryptophyta,Cryptomonadales
Gregarina	Apicomplexa,Gregarinasina
Grimontia	Gammaproteobacteria
Grosmannia	Fungi,Ascomycota
Guillardia	Cryptophyta
Gymnodinium	Dinophyceae,Gymnodiniales
Hahella	Gammaproteobacteria
Haliangium	Deltaproteobacteria
Haliea	Gammaproteobacteria
Halobacteroides	Firmicutes
Hassallia	Cyanobacteria
Helicobacter	Epsilonproteobacteria
Helicosporidium	Viridiplantae,Chlorophyta,Trebouxiophyceae
Helobdella	Metazoa,Bilateria
Herminiimonas	Betaproteobacteria
Hesseltinella	Fungi,Mucoromycota
Heterobasidion	Fungi,Basidiomycota
Heterocapsa	Dinophyceae,Peridiniales
Heterosigma	Stramenopiles,Raphidophyceae
Histomonas	Parabasalia,Tritrichomonadida
Holospora	Alphaproteobacteria
Homo	Metazoa,Bilateria
Hordeum	Viridiplantae,Streptophyta
Hydrogenivirga	Aquificae
Hydrogenobacter	Aquificae
Hydrogenobaculum	Aquificae
Hydrogenophaga	Betaproteobacteria
Hydromonas	Betaproteobacteria
Hyphobacterium	Alphaproteobacteria
Chaetomium	Fungi,Ascomycota
Chattonella	Stramenopiles,Raphidophyceae
Chilomastix	Excavata,Fornicata,Retortamonadidae
Chlamydomonas	Viridiplantae,Chlorophyta
Chlorarachnion	Rhizaria,Cercozoa,Chlorarachniophyceae
Chloroflexus	Chloroflexi
Choanephora	Fungi,Mucoromycota
Chondrus	Rhodophyta,Florideophyceae
Chromera	Apicomplexa
Chromera	Apicomplexa,Colpodellida
Chroomonas	Cryptophyta,Pyrenomonadales
Chrysoreinhardia	Stramenopiles,Pelagophyceae
Ilumatobacter	Actinobacteria
Imantonia	Haptophyceae,Prymnesiales
Imhoffiella	Gammaproteobacteria
Inmirania	Gammaproteobacteria
Iotanema	Excavata,Fornicata,Caviomonadidae
Isochrysis	Haptophyceae,Isochrysidales
Karenia	Dinophyceae,Gymnodiniales
Karlodinium	Dinophyceae,Gymnodiniales
Kingella	Betaproteobacteria
Kipferlia	Excavata,Fornicata,Carpediemonas-like
Kryptoperidinium	Dinophyceae,Peridiniales
Kutzneria	Actinobacteria
Labilibacter	Bacteroidetes
Labilibaculum	Bacteroidetes
Labilithrix	Deltaproteobacteria
Laccaria	Fungi,Basidiomycota
Lamprocystis	Gammaproteobacteria
Leishmania	Euglenozoa,Kinetoplastida
Leptosphaeria	Fungi,Ascomycota
Leptospirillum	Nitrospirae
Leptothrix	Betaproteobacteria
Leucothrix	Gammaproteobacteria
Limnohabitans	Betaproteobacteria
Lingulodinium	Dinophyceae,Gonyaulacales
Listeria	Firmicutes
Litonotus	Ciliophora,Litostomatea
Lobosporangium	Fungi,Mucoromycota
Lotharella	Rhizaria,Cercozoa,Chlorarachniophyceae
Lottia	Metazoa,Bilateria
Lutispora	Firmicutes
Lyngbya	Cyanobacteria
Lysobacter	Gammaproteobacteria
Madagascaria	Rhodophyta,Compsopogonophyceae
Magnetospirillum	Alphaproteobacteria
Mallomonas	Stramenopiles,Synurophyceae
Marichromatium	Gammaproteobacteria
Marinifilum	Bacteroidetes
Marinilabilia	Bacteroidetes
Marinobacterium	Gammaproteobacteria
Marispirochaeta	Spirochaetes
Marssonina	Fungi,Ascomycota
Medicago	Viridiplantae,Streptophyta
Meliniomyces	Fungi,Ascomycota
Mesodinium	Ciliophora,Litostomatea
Mesotoga	Thermotogae
Metallibacterium	Gammaproteobacteria
Metallosphaera	Archaea,Crenarchaeota
Metarhizium	Fungi,Ascomycota
Methylibium	Betaproteobacteria
Methylocapsa	Alphaproteobacteria
Methylocystis	Alphaproteobacteria
Methyloferula	Alphaproteobacteria
Methyloglobulus	Gammaproteobacteria
Methylomonas	Gammaproteobacteria
Methylosinus	Alphaproteobacteria
Methyloversatilis	Betaproteobacteria
Micromonas	Viridiplantae,Chlorophyta,prasinophytes
Micromonospora	Actinobacteria
Minchinia	Rhizaria,Cercozoa,Ascetosporea
Minwuia	Alphaproteobacteria
Mizugakiibacter	Gammaproteobacteria
Modestobacter	Actinobacteria
Monocercomonoides	Oxymonadida,Polymastigidae
Monosiga	Choanoflagellida
Morus	Viridiplantae,Streptophyta
Mucor	Fungi,Mucoromycota
Mycobacterium	Actinobacteria
Mycolicibacterium	Actinobacteria
Myxococcales	Deltaproteobacteria
Naegleria	Amoebozoa
Nannizzia	Fungi,Ascomycota
Nannochloropsis	Stramenopiles,Eustigmatophyceae
Neisseria	Betaproteobacteria
Nematostella	Metazoa,Cnidaria
Neobodo	Euglenozoa,Kinetoplastida
Neospora	Apicomplexa,Coccidia
Nephroselmis	Viridiplantae,Chlorophyta,prasinophytes
Neurospora	Fungi,Ascomycota
Nitrobacter	Alphaproteobacteria
Nitrosomonas	Betaproteobacteria
Nitrosospira	Betaproteobacteria
Nitrospira	Nitrospirae
Nitrospirillum	Alphaproteobacteria
Nitzschia	Stramenopiles,Bacillariophyta
Noctiluca	Dinophyceae,Noctilucales
Nodularia	Cyanobacteria
Nostoc	Cyanobacteria
Noviherbaspirillum	Betaproteobacteria
Novosphingobium	Alphaproteobacteria
Oceanibacterium	Alphaproteobacteria
Oceanibaculum	Alphaproteobacteria
Odontella	Stramenopiles,Bacillariophyta
Ochromonas	Stramenopiles,Chrysophyceae
Oleiagrimonas	Gammaproteobacteria
Oleomonas	Alphaproteobacteria
Oryza	Viridiplantae,Streptophyta
Ostreococcus	Viridiplantae,Chlorophyta,prasinophytes
Oxyrrhis	Dinophyceae,Oxyrrhinales
Paenibacillus	Firmicutes
Palpitomonas	unclassified
Pandoraea	Betaproteobacteria
Paraburkholderia	Betaproteobacteria
Paracoccidioides	Fungi,Ascomycota
Paramecium	Ciliophora,Oligohymenophorea
Paraphaeosphaeria	Fungi,Ascomycota
Paraphysomonas	Stramenopiles,Chrysophyceae
Parasitella	Fungi,Mucoromycota
Parasphingopyxis	Alphaproteobacteria
Parastagonospora	Fungi,Ascomycota
Paratrimastix	Excavata,Preaxostyla
Partenskyella	Rhizaria,Cercozoa,Chlorarachniophyceae
Parvibaculum	Alphaproteobacteria
Paulinella	Rhizaria,Cercozoa,Imbricatea
Pelagomonas	Stramenopiles,Pelagophyceae
Pelomonas	Betaproteobacteria
Pelosinus	Firmicutes
Penicilliopsis	Fungi,Ascomycota
Penicillium	Fungi,Ascomycota
Percolomonas	Heterolobosea
Perkinsus	Perkinsea
Pestalotiopsis	Fungi,Ascomycota
Phaeocystis	Haptophyceae,Phaeocystales
Phaeodactylum	Stramenopiles,Bacillariophyta
Phaeomonas	Stramenopiles,Pinguiophyceae
Phaseolus	Viridiplantae,Streptophyta
Phialocephala	Fungi,Ascomycota
Photobacterium	Gammaproteobacteria
Phycisphaerae	Planctomycetes
Phycomyces	Fungi,Mucoromycota
Physcomitrella	Viridiplantae,Streptophyta
Phytomonas	Euglenozoa,Kinetoplastida
Phytophthora	Stramenopiles,Oomycetes
Picocystis	Viridiplantae,Chlorophyta,prasinophytes
Picochlorum	Viridiplantae,Chlorophyta,Trebouxiophyceae
Picrophilus	Archaea,Euryarchaeota
Pinguiococcus	Stramenopiles,Pinguiophyceae
Pirellula	Planctomycetes
Piscinibacter	Betaproteobacteria
Planctomyces	Planctomycetes
Planctomycetes	Planctomycetes
Plasmodiophora	Rhizaria,Cercozoa
Platyophrya	Ciliophora,Colpodea
Plesiocystis	Deltaproteobacteria
Pleurochrysis	Haptophyceae,Coccolithales
Podospora	Fungi,Ascomycota
Polaromonas	Betaproteobacteria
Polynucleobacter	Betaproteobacteria
Polysphondylium	Amoebozoa,Mycetozoa
Polytomella	Viridiplantae,Chlorophyta,Chlorophyceae
Porphyra	Rhodophyta,Bangiophyceae
Porphyridium	Rhodophyta,Bangiophyceae
Porphyromonas	Bacteroidetes
Prasinococcus	Viridiplantae,Chlorophyta,prasinophytes
Prevotella	Bacteroidetes
Prochlorococcus	Cyanobacteria
Propionispira	Firmicutes
Propionispora	Firmicutes
Prorocentrum	Dinophyceae,Prorocentrales
Proteiniclasticum	Firmicutes
Proteobacteria	Gammaproteobacteria
Protocruzia	Ciliophora,Spirotrichea
Providencia	Gammaproteobacteria
Prymnesium	Haptophyceae,Prymnesiales
Pseudocohnilembus	Ciliophora,Oligohymenophorea
Pseudodesulfovibrio	Deltaproteobacteria
Pseudothermotoga	Thermotogae
Pteridomonas	Stramenopiles,Dictyochophyceae
Pteropus	Metazoa,Bilateria
Puccinia	Fungi,Basidiomycota
Purpureocillium	Fungi,Ascomycota
Pyramimonas	Viridiplantae,Chlorophyta,prasinophytes
Pyrenophora	Fungi,Ascomycota
Pyricularia	Fungi,Ascomycota
Pyrobaculum	Archaea,Crenarchaeota
Pyrococcus	Archaea,Euryarchaeota
Pyrodinium	Dinophyceae,Gonyaulacales
Pythium	Stramenopiles,Oomycetes
Ralstonia	Betaproteobacteria
Ramlibacter	Betaproteobacteria
Reyranella	Alphaproteobacteria
Rhizobacter	Betaproteobacteria
Rhizoclosmatium	Fungi,Chytridiomycota
Rhizoctonia	Fungi,Basidiomycota
Rhizochromulina	Stramenopiles,Dictyochophyceae
Rhizopus	Fungi,Mucoromycota
Rhodanobacter	Gammaproteobacteria
Rhodella	Rhodophyta,Rhodellophyceae
Rhodobacter	Alphaproteobacteria
Rhodococcus	Actinobacteria
Rhodoferax	Betaproteobacteria
Rhodomonas	Cryptophyta,Pyrenomonadales
Rhodosorus	Rhodophyta,Stylonematophyceae
Rhodospirillales	Alphaproteobacteria
Rhodotorula	Fungi,Basidiomycota
Rhodovibrio	Alphaproteobacteria
Rickettsia	Alphaproteobacteria
Rickettsiales	Alphaproteobacteria
Rosalina	Rhizaria,Foraminifera
Roseburia	Firmicutes
Roseiflexus	Chloroflexi
Rubeoparvulum	Firmicutes
Rudaea	Gammaproteobacteria
Rugosibacter	Betaproteobacteria
Saccharolobus	Archaea,Crenarchaeota
Saccharomonospora	Actinobacteria
Saitoella	Fungi,Ascomycota
Salmonella	Gammaproteobacteria
Salpingoeca	Choanoflagellida
Saprolegnia	Stramenopiles,Oomycetes
Scedosporium	Fungi,Ascomycota
Sclerotinia	Fungi,Ascomycota
Scrippsiella	Dinophyceae,Peridiniales
Sedimentibacter	Firmicutes
Sedimenticola	Gammaproteobacteria
Sediminispirochaeta	Spirochaetes
Selaginella	Viridiplantae,Streptophyta
Setaria	Metazoa,Bilateria
Sexangularia	Amoebozoa,Tubulinea
Shewanella	Gammaproteobacteria
Schistosoma	Metazoa,Bilateria
Schizophyllum	Fungi,Basidiomycota
Schizosaccharomyces	Fungi,Ascomycota
Schlesneria	Planctomycetes
Sideroxydans	Betaproteobacteria
Skeletonema	Stramenopiles,Bacillariophyta
Skermanella	Alphaproteobacteria
Sneathiella	Alphaproteobacteria
Solanum	Viridiplantae,Streptophyta
Solemya	Metazoa,Bilateria
Sorangium	Deltaproteobacteria
Sordaria	Fungi,Ascomycota
Sorites	Rhizaria,Foraminifera
Sphingomonas	Alphaproteobacteria
Sphingorhabdus	Alphaproteobacteria
Spirochaetae	Spirochaetes
Spirochaetes	Spirochaetes
Spironucleus	Excavata,Fornicata,Diplomonadida
Spizellomyces	Fungi,Chytridiomycota
Sporolactobacillus	Firmicutes
Sporothrix	Fungi,Ascomycota
Staurosira	Stramenopiles,Bacillariophyta
Stentor	Ciliophora,Heterotrichea
Streptomonospora	Actinobacteria
Streptomyces	Actinobacteria
Streptosporangium	Actinobacteria
Strongylocentrotus	Metazoa,Bilateria
Stygamoeba	Amoebozoa,Discosea
Stygiella	Jakobida
Sulfobacillus	Firmicutes,Clostridia
Sulfolobus	Archaea,Crenarchaeota
Sulfuricella	Betaproteobacteria
Sulfurisphaera	Archaea,Crenarchaeota
Sulfuritalea	Betaproteobacteria
Sulfurivermis	Gammaproteobacteria
Symbiobacterium	Firmicutes
Symbiodinium	Dinophyceae,Suessiales
Syncephalastrum	Fungi,Mucoromycota
Synechococcus	Cyanobacteria
Synergistes	Synergistetes
Synchroma	Stramenopiles,Synchromophyceae
Tepidicaulis	Alphaproteobacteria
Tepidimicrobium	Firmicutes
Tepidimonas	Betaproteobacteria
Tetrahymena	Ciliophora,Oligohymenophorea
Tetraselmis	Viridiplantae,Chlorophyta,Chlorodendrophyceae
Thalassionema	Stramenopiles,Bacillariophyta
Thalassiosira	Stramenopiles,Bacillariophyta
Thalassiothrix	Stramenopiles,Bacillariophyta
Thalassobaculum	Alphaproteobacteria
Thalassospira	Alphaproteobacteria
Theileria	Apicomplexa,Piroplasmida
Thermococcus	Archaea,Euryarchaeota
Thermocrinis	Aquificae
Thermopetrobacter	Alphaproteobacteria
Thermoplasma	Archaea,Euryarchaeota
Thermoplasmatales	Archaea,Euryarchaeota
Thermoproteus	Archaea,Crenarchaeota
Thermosynechococcus	Cyanobacteria
Thermothelomyces	Fungi,Ascomycota
Thermotoga	Thermotogae
Thielavia	Fungi,Ascomycota
Thioalkalivibrio	Gammaproteobacteria
Thiobacillus	Betaproteobacteria
Thiocapsa	Gammaproteobacteria
Thiocystis	Gammaproteobacteria
Thiofilum	Gammaproteobacteria
Thioflavicoccus	Gammaproteobacteria
Thiohalorhabdus	Gammaproteobacteria
Thiolapillus	Gammaproteobacteria
Thiolinea	Gammaproteobacteria
Thiomonas	Betaproteobacteria
Thiorhodococcus	Gammaproteobacteria
Thiorhodospira	Gammaproteobacteria
Thiorhodovibrio	Gammaproteobacteria
Thiothrix	Gammaproteobacteria
Thiotrichales	Gammaproteobacteria
Thraustochytrium	Stramenopiles,Labyrinthulomycetes
Tibeticola	Betaproteobacteria
Timspurckia	Rhodophyta,Bangiophyceae
Tistlia	Alphaproteobacteria
Tistrella	Alphaproteobacteria
Tolumonas	Gammaproteobacteria
Toxoplasma	Apicomplexa,Coccidia
Trepomonas	Excavata,Fornicata,Diplomonadida
Treponema	Spirochaetes
Trichoderma	Fungi,Ascomycota
Trichophyton	Fungi,Ascomycota
Trichoplax	Metazoa,Placozoa
Trimastix	Excavata,Preaxostyla
Tritrichomonas	Parabasalia
Trypanosoma	Euglenozoa,Kinetoplastida
Tuber	Fungi,Ascomycota
Tumebacillus	Firmicutes
unclassified	unidentified
uncultured	Acidobacteria
Vannella	Amoebozoa,Discosea
Vaucheria	Stramenopiles,PX clade
Verminephrobacter	Betaproteobacteria
Vibrio	Gammaproteobacteria
Victivallales	PVC group,Lentisphaerae
Vitis	Viridiplantae,Streptophyta
Vitrella	Apicomplexa,Colpodellida
Volvox	Viridiplantae,Chlorophyta
Voromonas	Apicomplexa,Colpodellida
Vulcanisaeta	Archaea,Crenarchaeota
Wenzhouxiangella	Gammaproteobacteria
Xanthomonadales	Gammaproteobacteria
Yersinia	Gammaproteobacteria
Zancudomyces	Fungi,Zoopagomycota
Zavarzinella	Planctomycetes
Zea	Viridiplantae,Streptophyta
R.dobelli	Excavata,Fornicata,Retortamonadidae
